text,category_1,category_2
believe-in-yourself,good sisu,Spiritual
believe-in-yourself,good sisu,Spiritual
open-minded,good sisu,Spiritual
power,good sisu,Spiritual
persistance,good sisu,Spiritual
courageous,good sisu,Spiritual
heroic,good sisu,Spiritual
courage,good sisu,Spiritual
confident,good sisu,Spiritual
confidencefearless,good sisu,Spiritual
calm,good sisu,Spiritual
strong,good sisu,Spiritual
strength,good sisu,Spiritual
gentle,good sisu,Relationship
extraordinary,good sisu,Spiritual
perserverance,good sisu,Spiritual
integrity,good sisu,Spiritual
guts,good sisu,Spiritual
will,good sisu,Spiritual
consistent,good sisu,Spiritual
challenge,good sisu,Spiritual
magic,good sisu,Spiritual
determination,good sisu,Spiritual
victory,good sisu,Spiritual
future,good sisu,Spiritual
past,good sisu,Spiritual
grow,good sisu,Spiritual
learn,good sisu,Spiritual
relationship,good sisu,Relationship
healthy,good sisu,Spiritual
consciousness,good sisu,Spiritual
positivity,good sisu,Spiritual
honest,good sisu,Spiritual
attitude,good sisu,Spiritual
motivated,good sisu,Spiritual
proud,good sisu,Spiritual
pride,good sisu,Spiritual
energy,good sisu,Spiritual
resilience,good sisu,Spiritual
better,good sisu,Spiritual
positivity,good sisu,Spiritual
compromise,good sisu,Spiritual
kind,good sisu,Relationship
gratitude,good sisu,Spiritual
persevere,good sisu,Spiritual
persist,good sisu,Spiritual
caring,good sisu,Relationship
beauty,good sisu,Spiritual
improve,good sisu,Spiritual
healthy-living,good sisu,Spiritual
motivational,good sisu,Spiritual
Positive,good sisu,Spiritual
wise,good sisu,Spiritual
Powerful,good sisu,Spiritual
Good,good sisu,Spiritual
Better,good sisu,Spiritual
Integrity,good sisu,Spiritual
Self,good sisu,Spiritual
self,good sisu,Spiritual
honesty,good sisu,Spiritual
problem-solving,good sisu,Spiritual
leadership,good sisu,Spiritual
humility,good sisu,Spiritual
Discipline,good sisu,Spiritual
Moving Forward,good sisu,Spiritual
Mind,good sisu,Spiritual
self-motivation,good sisu,Spiritual
passion,good sisu,Spiritual
Wise,good sisu,Spiritual
Kindness,good sisu,Relationship
independent,good sisu,Spiritual
peace,good sisu,Spiritual
Gratitude,good sisu,Spiritual
enthusiasm,good sisu,Spiritual
hope,good sisu,Spiritual
hospitality,good sisu,Spiritual
optimistic,good sisu,Spiritual
